gid,n_sectors,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
1,18,0.000,0.000,0.000,14.286,14.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,18,6.098,3.919,6.000,5.710,4.574,3.794,7.229,5.178,7.705,6.365,5.217,2.676,3.896,4.244,5.819,5.183,4.124,3.904
3,18,4.938,6.284,6.689,5.397,5.344,5.978,6.383,9.309,10.236,10.843,6.576,6.744,4.938,6.222,7.822,6.150,6.406,4.113
4,18,0.115,0.207,3.540,40.000,64.545,64.151,0.000,0.087,0.976,22.222,41.346,44.237,0.000,0.000,0.000,0.000,0.000,0.000
5,18,0.000,0.000,75.000,44.444,62.500,58.674,0.000,0.000,69.231,70.588,93.220,81.191,0.000,0.000,88.889,70.000,90.526,78.778
6,18,0.000,0.000,8.772,85.714,80.000,65.957,0.000,0.000,6.122,77.778,88.889,92.045,0.187,0.340,13.008,80.000,90.000,88.827
33,18,12.299,15.944,13.583,21.875,0.000,0.000,9.091,9.494,10.375,8.333,50.000,0.000,15.396,16.046,12.884,9.091,0.000,0.000
34,18,6.987,6.697,7.525,6.897,0.000,0.000,6.101,6.071,4.466,7.463,0.000,20.000,5.195,4.858,4.154,4.511,0.000,75.000
35,18,7.298,8.855,7.158,4.098,0.000,0.000,4.093,3.937,4.852,10.000,0.000,0.000,2.984,3.488,2.603,7.801,0.000,50.000
36,18,24.176,22.491,13.258,1.858,0.311,0.085,23.778,24.530,14.144,1.292,0.362,0.150,21.984,22.830,13.937,1.471,0.117,0.223
37,18,25.877,28.958,24.217,30.233,36.364,0.000,46.970,49.717,42.621,40.385,61.538,50.000,60.000,32.143,22.222,16.667,4.167,0.000
38,18,38.997,36.338,26.067,4.536,0.739,0.137,37.477,38.992,26.392,5.134,0.651,0.217,36.997,38.923,26.098,4.835,0.880,0.334
65,18,0.685,1.026,0.712,5.455,3.015,7.186,0.811,1.645,2.551,1.180,2.313,5.800,0.000,0.000,0.000,0.000,0.000,0.000
66,18,8.333,6.359,9.814,7.943,10.100,10.194,9.505,7.500,7.946,7.117,7.822,10.345,5.911,5.854,6.335,6.678,7.870,9.688
67,18,3.241,2.492,2.314,2.967,1.190,4.674,8.219,7.677,6.130,5.094,11.717,9.050,0.000,0.000,2.679,3.390,5.839,6.864
68,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
97,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
98,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
99,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
100,18,58.947,52.778,49.640,42.405,46.885,39.769,57.895,56.250,46.370,50.455,41.038,43.685,64.865,56.522,51.739,47.384,43.651,39.864
101,18,53.279,48.773,42.424,47.148,47.484,46.350,67.416,65.445,62.661,55.204,48.085,38.136,62.500,73.152,69.966,74.905,69.636,69.128
102,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
129,18,40.741,37.931,36.667,38.889,45.000,28.571,39.344,35.294,53.125,34.783,26.667,36.364,0.000,0.000,0.000,0.000,0.000,0.000
130,18,26.786,44.156,64.894,47.059,65.517,47.222,50.000,40.268,56.180,55.294,50.847,46.512,54.651,49.383,58.974,57.500,60.000,40.541
131,18,56.098,64.000,68.103,55.556,57.143,51.389,63.768,56.842,59.574,26.829,25.714,32.353,53.846,63.333,62.577,61.635,58.389,42.991
132,18,40.385,33.333,27.835,10.417,18.182,46.154,33.175,33.134,27.037,17.117,20.745,8.633,40.196,39.823,41.860,6.122,7.692,20.000
133,18,45.255,44.758,50.213,51.832,49.432,40.719,49.721,54.393,56.140,40.580,35.981,36.232,69.474,69.079,57.639,40.984,39.286,40.000
134,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
